flashcard_id,question,answer,english
d2359d73-7852-4ec9-a0cc-212cbc6d830b,彼は本____読みます。,を,He reads a book.
d2359d73-7852-4ec9-a0cc-212cbc6d830b,私は音楽____聞きます。,を,I listen to music.
d2359d73-7852-4ec9-a0cc-212cbc6d830b,彼女は映画____見ます。,を,She watches a movie.
68efb2aa-4625-4058-bf71-1982d06aeed1,明日友達に____予定です。,会う,I plan to meet my friend tomorrow.
68efb2aa-4625-4058-bf71-1982d06aeed1,彼と駅で____つもりです。,会う,I intend to meet him at the station.
68efb2aa-4625-4058-bf71-1982d06aeed1,毎週土曜日に母に____。,会う,I meet my mother every Saturday.
a026df7d-f687-44e6-bd4b-572a7fc5d7be,友達に電話を____。,かける,I call my friend.
a026df7d-f687-44e6-bd4b-572a7fc5d7be,椅子に____。,かける,I sit down on the chair.
a026df7d-f687-44e6-bd4b-572a7fc5d7be,壁に絵を____。,かける,I hang a picture on the wall.
4bc4d821-365b-40e7-aed0-34a4ec39c0e6,この色は____ですか？,違う,Is this color different?
4bc4d821-365b-40e7-aed0-34a4ec39c0e6,彼の意見は私のと____。,違う,His opinion is different from mine.
4bc4d821-365b-40e7-aed0-34a4ec39c0e6,それは____答えです。,違う,That is the wrong answer.
e7e6b3fb-2442-447a-9731-934afd68b10a,公園に____がいます。,大勢,There are a large number of people in the park.
e7e6b3fb-2442-447a-9731-934afd68b10a,祭りには____の人が来ました。,大勢,A large number of people came to the festival.
e7e6b3fb-2442-447a-9731-934afd68b10a,学校で____の生徒が勉強しています。,大勢,A large number of students are studying at school.
84be49b6-5c23-4304-af31-2c3281a1fb89,部屋の____がついていますか？,電気,Is the light on in the room?
84be49b6-5c23-4304-af31-2c3281a1fb89,この____はとても明るいです。,電気,This light is very bright.
84be49b6-5c23-4304-af31-2c3281a1fb89,____を消してください。,電気,Please turn off the light.
bef65e07-dd1c-4949-8353-933850f730d3,____本は面白いです。,あの,That book over there is interesting.
bef65e07-dd1c-4949-8353-933850f730d3,____車は私のです。,あの,That car over there is mine.
bef65e07-dd1c-4949-8353-933850f730d3,____人は先生ですか？,あの,Is that person over there a teacher?
5c68cd3d-f622-4381-a036-0316fcc1168f,学校の____はとても長いです。,廊下,The hallway of the school is very long.
5c68cd3d-f622-4381-a036-0316fcc1168f,私の部屋は____の近くにあります。,廊下,My room is near the hallway.
5c68cd3d-f622-4381-a036-0316fcc1168f,____を歩くときは静かにしてください。,廊下,Please be quiet when walking in the hallway.
0ce57d90-90a9-4727-99f9-935ed3582b72,今日は寒いので、____を着ます。,上着,"It is cold today, so I will wear a coat."
0ce57d90-90a9-4727-99f9-935ed3582b72,彼は新しい____を買いました。,上着,He bought a new jacket.
0ce57d90-90a9-4727-99f9-935ed3582b72,雨が降るから、____を持って行きます。,上着,"It is going to rain, so I will take my coat."
