Word,Reading,Meaning,JLPT,Word Type,Example Sentence JP,Example Sentence EN
ああ,ああ,"Ah!, Oh!",N5,Interjection,ああ、疲れた！,"Ah, I’m tired!"
会う,あう,"to meet, to see",N5,Godan verb with 'u' ending,今日、会うよ。,I'll see him today.
青,あお,blue,N5,Noun,空は青い。,The sky is blue.
青い,あおい,blue,N5,I-adjective (keiyoushi),空は青い。,The sky is blue.
赤,あか,red,N5,Noun,顔赤いよ。,Your face is red.
赤い,あかい,red,N5,I-adjective (keiyoushi),顔赤いよ。,Your face is red.
明るい,あかるい,bright (in reference to personality or weather); cheerful,N5,I-adjective (keiyoushi),月は明るい。,The moon is bright.
秋,あき,fall (season),N5,Noun,秋ですね。,Autumn is here.
開く,あく,"to open, to become open",N5,Godan verb with 'ku' ending,本を開けないで。,Don't open your book.
開ける,あける,to open (v.t.),N5,Ichidan verb,窓を開けないで。,Don't open the window.
上げる,あげる,"to raise, to lift",N5,Ichidan verb,頭を上げないで。,Don't raise your head.
朝,あさ,morning,N5,Noun,朝ご飯よ！,Breakfast!
朝御飯,あさごはん,breakfast,N5,Noun,朝御飯にパンを食べます。,I eat bread for breakfast.
明後日,あさって,day after tomorrow,N5,Noun,また明後日。,See you in two days.
足; 脚,あし,foot; leg,N5,Noun,足が速いです。,My legs are fast.
明日,あした,tomorrow,N5,Noun,明日暇？,Are you free tomorrow?
あそこ,あそこ,"there, over there, that place",N5,Pronoun,あそこを見て。,Look over there.
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,N5,Godan verb with 'bu' ending,ここで遊ばないで。,Don't play here.
暖かい,あたたかい,warm,N5,I-adjective (keiyoushi),そこ暖かい？,Is it warm there?
頭,あたま,head,N5,Noun,頭痛い。,I have a headache.
新しい,あたらしい,new,N5,I-adjective (keiyoushi),それ、新しい車？,Is that a new car?
あちら,あちら,this way (polite),N5,Pronoun,あちらの方は奥さんですか？,Is that your wife?
暑い,あつい,"hot (in reference to weather), warm",N5,I-adjective (keiyoushi),暑い？,Is it hot?
熱い,あつい,hot (objects),N5,I-adjective (keiyoushi),熱い？,Is it hot?
厚い,あつい,"kind, warm(hearted), thick, deep",N5,I-adjective (keiyoushi),厚い本だな。,That book is thick.
あっち,あっち,over there,N5,Pronoun,あっちへ行け！,Go away.
後,あと,afterwards (later); in the future; the rest; since then,N5,Noun,後はお願いね！,The rest is up to you!
あなた,あなた,you,N5,Pronoun,あなたの本？,Is the book yours?
兄,あに,(my) older brother (humble),N5,Noun,兄がいます。,I have an older brother.
姉,あね,(my) older sister (humble),N5,Noun,姉はいない。,I don't have an older sister.
アパート,アパート,apartment (abbr.),N5,Noun,いいアパートね。,This is a great apartment.
あの,あの,"that over there; like that, that way; um...",N5,Pre-noun adjectival (rentaishi),あの…,Err...
浴びる,あびる,"to bathe, to shower",N5,Ichidan verb,シャワー浴びるの？,Are you going to shower?
危ない,あぶない,"dangerous, critical",N5,I-adjective (keiyoushi),危ない！,Look out!
甘い,あまい,"generous, sweet",N5,I-adjective (keiyoushi),りんごは甘い。,Apples are sweet.
余り,あまり,not very; surplus,N5,Noun,余り楽しくなかったな。,I didn't enjoy it very much.
雨,あめ,rain,N5,Noun,雨は好き？,Do you like rain?
飴,あめ,(hard) candy,N5,Noun,飴がほしい。,I want a piece of candy.
洗う,あらう,to wash,N5,Godan verb with 'u' ending,洗ってください。,Please wash it.
在る,ある,"to be, to have",N5,Godan verb with 'ru' ending (irregular verb),神はいるよ。,God exists.
有る,ある,"to be, to have",N5,Godan verb with 'ru' ending (irregular verb),彼は学生に人気が有る。,He's popular with the students.
歩く,あるく,to walk,N5,Godan verb with 'ku' ending,歩くの疲れたよ。,I am tired from walking.
あれ,あれ,that one (over there),N5,Pronoun,あれ何？,What's that?
いい; よい,いい; よい,good,N5,I-adjective (keiyoushi),いいよ。,All right.
